Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,0.000,53.3109554,-0.0628274,133.0,3.34,-0.062,-0.026,0.999,0,0.38,-0.23,2.67
2,0.080,53.3109546,-0.0628285,133.1,3.44,-0.072,-0.020,1.004,0,0.65,-0.69,5.66
3,0.160,53.3109537,-0.0628298,133.0,3.56,-0.078,-0.009,1.001,0,0.79,-1.12,8.53
4,0.240,53.3109528,-0.0628309,133.0,3.16,-0.090,0.000,0.998,0,0.65,-1.13,11.18
5,0.320,53.3109518,-0.0628321,133.1,3.56,-0.098,0.006,0.996,0,0.17,-0.96,13.71
6,0.400,53.3109508,-0.0628332,133.1,3.59,-0.086,0.012,0.998,0,-0.58,-0.71,14.29
7,0.480,53.3109499,-0.0628344,133.0,3.85,-0.084,0.009,0.997,0,-1.45,-0.15,14.69
8,0.560,53.3109488,-0.0628356,133.0,3.81,-0.086,0.003,0.998,0,-2.20,0.35,15.06
9,0.640,53.3109478,-0.0628368,133.1,3.61,-0.088,-0.002,0.995,0,-2.98,0.31,15.37
10,0.720,53.3109469,-0.0628379,133.1,3.74,-0.092,-0.006,0.994,0,-3.34,0.29,15.49
11,0.800,53.3109457,-0.0628390,133.1,3.81,-0.098,-0.008,0.992,0,-3.34,0.24,15.19
12,0.880,53.3109446,-0.0628402,133.1,3.95,-0.100,-0.006,0.991,0,-2.63,0.01,14.28
13,0.920,53.3109439,-0.0628409,133.0,4.44,-0.094,-0.007,1.000,0,-1.54,-0.32,13.05
14,1.000,53.3109427,-0.0628422,133.0,4.45,-0.097,-0.012,0.999,0,0.09,-0.25,11.54
15,1.080,53.3109415,-0.0628435,133.0,4.33,-0.102,-0.018,0.997,0,1.86,-0.28,10.46
16,1.200,53.3109396,-0.0628456,133.1,4.66,-0.110,-0.007,0.989,0,3.27,-0.31,9.99
17,1.280,53.3109382,-0.0628467,133.0,4.95,-0.100,0.018,0.984,0,3.29,-0.39,10.30
18,1.360,53.3109368,-0.0628482,133.0,5.06,-0.093,0.037,0.969,0,1.63,-0.28,10.79
19,1.440,53.3109354,-0.0628496,133.0,4.98,-0.096,0.033,0.969,0,0.00,-0.05,11.03
